state,city,year,population,violent_crime,murder_and_nonnegligent_manslaughter,forcible_rape,robbery,aggravated_assault,non_violent_crime,property_crime,burglary,larceny_theft,motor_vehicle_theft
TX,Abilene,2010,116938,578,4,68,112,394,9794,4897,1340,3375,182
OH,Akron,2010,205760,1665,22,159,602,882,21702,10851,4247,5855,749
GA,Albany,2010,73034,722,11,28,203,480,10074,5037,1629,3108,300
NY,Albany,2010,92713,981,2,42,316,621,9286,4643,926,3488,229
NY,Schenectady,2010,60751,679,8,53,256,362,6774,3387,856,2347,184
NY,Troy,2010,46861,423,2,22,137,262,4704,2352,656,1551,145
NM,Albuquerque,2010,545389,4291,42,338,940,2971,52744,26372,5465,18134,2773
LA,Alexandria,2010,49283,592,4,11,184,393,7574,3787,943,2714,130
PA-NJ,Allentown,2010,108473,732,9,67,460,196,10178,5089,1327,3345,417
PA-NJ,Bethlehem,2010,73634,234,0,18,110,106,4138,2069,445,1522,102
PA,Altoo,2010,46213,167,0,29,51,87,1894,947,294,616,37
TX,Amarillo,2010,190393,1184,10,91,238,845,22128,11064,2590,7827,647
IA,Ames,2010,57817,177,1,24,10,142,3112,1556,289,1217,50
AK,Anchorage,2010,290334,2432,13,264,454,1701,20428,10214,1223,8178,813
IN,Anderson,2010,57156,199,3,32,85,79,6144,3072,753,2095,224
SC,Anderson,2010,27325,200,6,15,36,143,3848,1924,466,1342,116
MI,Ann Arbor,2010,111745,284,0,43,76,165,5874,2937,524,2284,129
AL,Anniston1,2010,23703,,3,23,76,,4076,2038,831,1107,100
AL,Oxford1,2010,18397,,3,1,,49,2158,1079,162,867,50
WI,Appleton,2010,70975,202,0,17,13,172,3432,1716,305,1379,32
NC,Asheville,2010,77067,432,2,31,165,234,7342,3671,743,2638,290
GA,Athens-Clarke County,2010,112851,371,5,29,110,227,9862,4931,1334,3299,298
GA,Gwinnett,2010,,,,,,,0,,,,
GA,Atlanta,2010,536472,5749,93,89,2162,3405,61600,30800,8016,17741,5043
GA,Sandy Springs,2010,82898,189,7,18,115,49,5332,2666,718,1756,192
GA,Marietta,2010,65318,462,2,10,136,314,5714,2857,723,1968,166
NJ,Atlantic City,2010,39787,783,11,27,434,311,5938,2969,492,2344,133
NJ,Hammonton,2010,13603,20,1,2,4,13,508,254,72,175,7
TX,Austin,2010,796310,3790,38,265,1231,2256,91652,45826,8749,34827,2250
TX,Round Rock,2010,111099,116,0,26,35,55,6032,3016,464,2452,100
TX,San Marcos,2010,55100,152,1,13,34,104,3452,1726,263,1390,73
CA,Bakersfield,2010,333458,2104,33,34,641,1396,30394,15197,4235,8507,2455
CA,Delano,2010,54298,247,0,6,55,186,3302,1651,773,446,432
MD,Baltimore,2010,639929,9316,223,265,3336,5492,56560,28280,7573,16298,4409
ME,Bangor,2010,31587,52,3,4,30,15,3460,1730,198,1485,47
MA,Barnstable,2010,45599,355,0,29,46,280,2650,1325,428,833,64
MI,Battle Creek,2010,60386,702,5,63,120,514,6268,3134,1075,1910,149
MI,Bay City,2010,33200,250,1,53,45,151,2112,1056,340,681,35
TX,Beaumont,2010,109430,900,10,65,312,513,11882,5941,1611,4041,289
TX,Port Arthur,2010,56424,419,6,26,169,218,5504,2752,1020,1567,165
WA,Bellingham,2010,81139,282,2,37,73,170,7306,3653,589,2931,133
OR,Bend2,2010,79556,247,5,14,31,197,4820,2410,387,1951,72
MT,Billings,2010,108039,280,2,25,42,211,10042,5021,848,3811,362
NY,Binghamton,2010,43628,266,4,18,70,174,4170,2085,423,1644,18
ND,Bismarck,2010,64142,197,1,21,17,158,3016,1508,182,1250,76
VA,Blacksburg,2010,43355,38,0,14,9,15,1374,687,117,547,23
VA,Christiansburg,2010,19997,38,1,9,9,19,1354,677,76,581,20
VA,Radford,2010,16277,64,1,6,6,51,916,458,103,340,15
IN,Bloomington,2010,72286,306,1,31,72,202,6286,3143,815,2203,125
IL,Bloomington2,2010,74304,385,1,43,75,266,3920,1960,493,1414,53
IL,Normal2,2010,53014,146,0,11,38,97,2994,1497,350,1109,38
ID,Boise,2010,205902,539,3,89,58,389,11414,5707,888,4660,159
ID,mpa,2010,84179,275,2,51,17,205,4598,2299,450,1721,128
MA-NH,County,2010,,,,,,,0,,,,
MA-NH,Boston,2010,644064,5819,73,256,1926,3564,41256,20628,3587,15004,2037
MA-NH,Cambridge,2010,108356,476,0,22,171,283,6464,3232,483,2569,180
MA-NH,Quincy,2010,90304,414,11,22,112,269,3564,1782,505,1152,125
MA-NH,Newton,2010,83781,86,0,6,15,65,2424,1212,170,1016,26
MA-NH,Framingham,2010,66493,189,0,5,25,159,2818,1409,313,1025,71
MA-NH,Waltham,2010,60106,151,2,13,24,112,2064,1032,200,759,73
MA-NH,Peabody,2010,51517,111,0,15,15,81,2432,1216,136,1025,55
CO,Boulder,2010,99255,210,4,33,29,144,5444,2722,478,2155,89
KY,Bowling Green,2010,57308,152,0,39,55,58,5324,2662,512,2022,128
WA,Bremerton,2010,34897,263,0,52,50,161,3572,1786,414,1263,109
CT,Bridgeport,2010,138810,1412,22,57,561,772,9366,4683,1448,2377,858
CT,Stamford,2010,122933,351,2,19,152,178,3938,1969,348,1429,192
CT,Norwalk,2010,84944,343,6,12,129,196,3756,1878,323,1379,176
CT,Danbury,2010,81242,116,2,21,46,47,3030,1515,258,1177,80
CT,Stratford,2010,49469,148,1,15,43,89,2624,1312,188,1004,120
TX,Brownsville,2010,180040,563,7,31,165,360,18632,9316,1286,7784,246
TX,Harlingen,2010,65765,399,3,34,87,275,8810,4405,850,3375,180
GA,Brunswick,2010,15871,238,2,8,76,152,2836,1418,406,960,52
NY,Buffalo,2010,265128,3599,55,157,1466,1921,29506,14753,4296,9027,1430
NY,Cheektowaga Town,2010,76671,155,1,17,52,85,5496,2748,431,2221,96
NY,Towanda,2010,14475,21,0,1,2,18,624,312,32,271,9
NY,Niagara Falls,2010,50321,610,5,23,185,397,5848,2924,956,1834,134
NC,Burlington,2010,52210,395,3,11,69,312,7038,3519,794,2599,126
OH,Canton,2010,77938,652,2,54,324,272,8258,4129,1523,2337,269
OH,Massillon,2010,32768,39,3,4,21,11,1666,833,210,601,22
FL,Cape Coral,2010,160432,276,3,23,64,186,7574,3787,1083,2595,109
FL,Fort Myers,2010,66053,698,7,29,152,510,5398,2699,628,1877,194
MO-IL,Cape Girardeau,2010,37627,238,1,13,54,170,4926,2463,414,1985,64
MO-IL,Jackson,2010,14043,17,0,2,1,14,716,358,50,298,10
WY,Casper,2010,56813,108,2,6,20,80,4810,2405,382,1934,89
IA,Cedar Rapids,2010,129605,379,1,33,123,222,9932,4966,1026,3701,239
SC,Charleston,2010,117551,429,10,18,151,250,7960,3980,601,3150,229
SC,North Charleston,2010,99447,851,12,51,293,495,11920,5960,966,4469,525
SC,Summerville,2010,47479,157,1,8,45,103,3222,1611,240,1291,80
VA,Charlottesville,2010,42590,195,3,29,51,112,3386,1693,163,1443,87
TN-GA,Chattanooga,2010,172460,1557,18,78,512,949,21732,10866,2691,7350,825
WY,Cheyenne,2010,59361,131,0,27,21,83,4538,2269,236,1948,85
CA,Chico,2010,85630,245,1,47,88,109,4694,2347,710,1416,221
OH-KY-IN,Counties,2010,,,,,,,0,,,,
OH-KY-IN,Cincinti,2010,332365,3608,68,233,2116,1191,41026,20513,6490,12408,1615
OH-KY-IN,Middletown,2010,51464,344,2,23,98,221,7998,3999,1142,2712,145
TN-KY,Clarksville,2010,126548,802,9,55,121,617,8204,4102,1373,2525,204
TN,Cleveland,2010,40452,351,0,19,29,303,3966,1983,439,1470,74
OH,Cleveland,2010,426042,5525,81,341,3181,1922,46872,23436,9854,10079,3503
OH,Elyria,2010,54701,221,1,28,100,92,4278,2139,590,1446,103
OH,Mentor,2010,51924,40,0,5,21,14,2400,1200,125,1010,65
ID,Coeur d'Alene,2010,44626,254,0,21,17,216,3158,1579,284,1244,51
TX,College Station,2010,88416,220,3,37,44,136,5310,2655,475,2091,89
TX,Bryan,2010,75350,410,4,34,90,282,7294,3647,890,2632,125
CO,Colorado Springs,2010,397886,1957,20,319,526,1092,33588,16794,3452,12054,1288
MO,Columbia,2010,103417,530,3,37,131,359,7632,3816,552,3129,135
SC,Columbia,2010,130498,1306,16,74,345,871,15796,7898,1699,5528,671
GA-AL,Columbus,2010,184576,1005,15,38,477,475,26884,13442,3454,8981,1007
IN,Columbus,2010,40554,78,0,17,21,40,4538,2269,282,1834,153
OH,Columbus,2010,772974,5451,94,566,3359,1432,100336,50168,15234,30784,4150
TX,Corpus Christi,2010,287315,2067,16,191,389,1471,30172,15086,2623,12015,448
OR,Corvallis2,2010,51276,57,0,9,12,36,2754,1377,209,1132,36
FL,Crestview,2010,20424,87,1,8,16,62,1288,644,155,460,29
FL,Fort Walton,2010,18432,98,1,11,17,69,1858,929,186,681,62
MD-WV,Cumberland,2010,20449,196,1,17,40,138,2884,1442,370,1049,23
TX,Dallas,2010,1306775,9161,148,505,4487,4021,128250,64125,19594,36147,8384
TX,Fort Worth,2010,746433,4293,63,318,1330,2582,70180,35090,9352,23274,2464
TX,Arlington,2010,383715,1925,16,119,532,1258,38700,19350,4763,13342,1245
TX,Plano,2010,278244,503,4,53,152,294,13432,6716,1237,5093,386
TX,Irving,2010,206308,529,6,36,170,317,15488,7744,1632,5488,624
TX,Carrollton,2010,130862,184,4,4,63,113,7020,3510,897,2256,357
TX,Denton,2010,127251,326,3,67,65,191,6512,3256,564,2535,157
TX,McKinney,2010,138306,222,1,31,40,150,6206,3103,643,2322,138
TX,Richardson,2010,104051,193,0,13,90,90,5998,2999,608,2192,199
GA,Dalton,2010,33064,76,0,4,27,45,2364,1182,285,838,59
IL,Danville2,2010,31942,348,1,35,86,226,4356,2178,826,1295,57
VA,Danville,2010,44192,168,8,20,60,80,4364,2182,540,1577,65
IA-IL,Davenport,2010,102628,865,2,59,209,595,9788,4894,1148,3521,225
IA-IL,Moline IL2,2010,42510,216,1,26,22,167,2974,1487,302,1140,45
IA-IL,Rock Island,2010,37534,307,3,21,51,232,2612,1306,356,872,78
OH,Dayton,2010,152319,1509,34,92,782,601,17782,8891,3380,4840,671
AL,Decatur,2010,57153,212,4,17,74,117,5502,2751,682,1920,149
IL,Decatur2,2010,74857,468,4,20,136,308,6242,3121,1514,1481,126
FL,Dayto Beach,2010,63736,811,3,31,229,548,9270,4635,1083,3089,463
FL,Ormond Beach,2010,37923,251,0,13,14,224,2770,1385,277,1050,58
CO,Denver,2010,607051,3291,22,367,926,1976,41342,20671,4501,12944,3226
CO,Aurora,2010,323483,1443,23,183,505,732,20102,10051,2290,6873,888
CO,Broomfield,2010,57126,41,3,10,12,16,2322,1161,118,995,48
IA,Des Moines,2010,202564,1072,6,105,224,737,19590,9795,2248,6808,739
IA,West Des,2010,58600,109,0,22,11,76,3472,1736,173,1516,47
MI,Detroit,2010,899447,16976,310,405,5538,10723,95574,47787,17090,18095,12602
MI,Warren,2010,132266,770,5,69,171,525,7406,3703,953,2035,715
MI,Livonia,2010,87434,152,2,14,36,100,4078,2039,315,1503,221
MI,Dearborn,2010,82612,373,3,30,128,212,7436,3718,488,2759,471
MI,Troy,2010,79794,59,1,9,9,40,3456,1728,292,1327,109
MI,Farmington Hills,2010,77646,118,1,16,13,88,2762,1381,292,959,130
MI,Southfield,2010,74587,396,5,27,111,253,5520,2760,660,1690,410
MI,Pontiac,2010,65517,1113,9,67,239,798,4110,2055,1074,765,216
MI,Taylor,2010,58158,348,2,29,78,239,5000,2500,629,1640,231
MI,Novi,2010,54857,36,1,4,3,28,2000,1000,96,856,48
AL,Dothan,2010,68041,405,1,29,116,259,6172,3086,995,2001,90
DE,Dover,2010,37113,239,1,10,52,176,4244,2122,151,1858,113
IA,Dubuque,2010,57744,333,0,18,36,279,3542,1771,463,1257,51
MN-WI,Duluth MN1,2010,84249,,1,,90,165,3906,,605,3301,
NC,Durham,2010,233790,1614,23,60,659,872,22714,11357,3652,6987,718
NC,Chapel Hill,2010,54164,88,0,11,32,45,3332,1666,508,1108,50
WI,Eau Claire,2010,66737,139,2,21,23,93,3812,1906,406,1446,54
CA,Centro,2010,41535,197,1,7,45,144,4816,2408,672,1546,190
KY,Elizabethtown,2010,24712,48,0,13,22,13,1912,956,139,784,33
IN,Elkhart,2010,53296,156,1,35,116,4,4660,2330,709,1507,114
IN,Goshen,2010,32812,33,0,11,15,7,2080,1040,242,764,34
NY,Elmira,2010,28823,108,4,5,29,70,2114,1057,259,773,25
TX,Paso,2010,624322,2861,5,179,479,2198,34808,17404,1953,13899,1552
PA,Erie,2010,104077,491,12,78,173,228,6980,3490,1106,2245,139
IN-KY,Evansville,2010,116541,493,5,63,143,282,11088,5544,1086,4248,210
AK,Fairbanks2,2010,35989,284,0,70,33,181,2734,1367,149,1117,101
ND-MN,Fargo,2010,99694,302,0,44,35,223,5528,2764,392,2205,167
NM,Farmington,2010,44563,477,3,63,25,386,3356,1678,319,1270,89
NC,Fayetteville,2010,208263,1101,17,57,461,566,25132,12566,3928,7916,722
AR-MO,Fayetteville,2010,79237,328,1,55,37,235,5492,2746,465,2168,113
AR-MO,Springdale,2010,71047,325,0,68,18,239,4258,2129,373,1631,125
AR-MO,Rogers AR5,2010,61417,219,2,50,11,156,1673,,,1629,44
AR-MO,Bentonville,2010,39161,63,0,15,4,44,1410,705,142,537,26
AZ,Flagstaff,2010,58739,267,5,37,49,176,5910,2955,226,2666,63
MI,Flint,2010,109245,2412,53,92,670,1597,12474,6237,3648,1936,653
SC,Florence,2010,32273,354,2,8,108,236,5782,2891,546,2215,130
WI,Fond,2010,42369,131,0,21,13,97,2260,1130,194,908,28
CO,Fort Collins,2010,138689,438,0,64,50,324,9102,4551,643,3706,202
CO,Loveland,2010,66857,128,0,21,15,92,3184,1592,199,1325,68
AR-OK,Fort Smith,2010,86096,667,6,74,124,463,9630,4815,1073,3530,212
IN,Fort Wayne2,2010,257009,746,23,96,314,313,17720,8860,2140,6433,287
